New	Nouveau
You are running an obsolete version of AOL Instant Messenger (SM).  In order to sign on, you must first upgrade your software to the latest version.	Votre version d'AIM est obsolète. Pour vous connecter, vous devez d'abord installer la dernière version du programme.
To upgrade now, click the Upgrade button below.  To exit without upgrading, click the Exit button.	Pour effectuer une mise à jour maintenant ou quitter le programme, cliquez sur le bouton approprié ci-dessous.
Software Upgrade Recommended	Mise à jour du logiciel recommandée
Continue	Continuer
You are running an out-of-date version of AOL Instant Messenger (SM).  Although you may continue to use this version, we recommend that you upgrade to the current version to obtain the latest features and bug fixes.	Vous utilisez une ancienne version d'AIM. Vous pouvez continuer à vous en servir, cependant nous vous conseillons d'installer la dernière version afin de bénéficier des nouvelles fonctionnalités et des améliorations apportées à ce programme.
To upgrade, click the Upgrade button below.  To continue signing on, click the Continue button.	Pour effectuer une mise à jour, cliquez sur le bouton correspondant ci-dessous. Pour vous connecter, cliquez sur le bouton Continuer.
System Bulletin	Bulletin d'information sur AIM, AOL Messager
View	Afficher
A bulletin containing information about the AOL Instant Messenger (SM) system is available.	Un bulletin d'information sur AIM est à votre disposition.
To view the bulletin now, click the View button below. To continue without viewing the bulletin, click Cancel.	Pour en lire le contenu, cliquez sur Afficher. Pour continuer sans afficher le bulletin, cliquez sur Annuler.
AOL Instant Messenger (SM) Error	AIM, AOL Messager
Unknown error	Erreur inconnue.
AOL Instant Messenger (SM) Error	AIM, AOL Messager - Erreur
More Info	Plus d'infos
Invalid nickname or password	Mot de passe ou pseudonyme incorrect.
Yes! Sign Me Up	Oui ! Je m'enregistre !
Tell Me More	En savoir plus
FREE Software for Instant Communication\nAcross the Internet!\n\nNew! AOL Instant Messenger	Nouveau ! AIM, AOL Messager. Un logiciel qui vous permet de dialoguer en direct sur le Web.
Best of all there's no download.  It's already installed on your computer and it's FREE!  Sign Up Today!\n\nWith the AOL Instant Messenger (SM) service, you can...	Enregistrez-vous dès maintenant ! C'est facile !
- Communicate Instantly.\n\n- It's Fast, Easy, Fun and Free!\n\n- Keep in Touch with Friends, Family and Business Associates.\n\n- Hold Private Conversations any time - Day or Night.\n\n- Use it with any Internet Connection.	- Communiquez instantanément.\n\n- Profitez d'un service rapide, facile, ludique et GRATUIT !\n\n- Restez en contact avec vos amis, collègues et parents.\n\nDiscutez en toute confidentialité et à tout moment.\n\nUtilisez AIM partout, quelle que soit votre connexion Internet.
Try the new AOL Instant Messenger (SM) service.  It's the new way to exchange\ninstant messages with family, friends and colleagues no matter how they're connected to the Internet.\n\nIt's easy, it's private and best of all -- It's FREE!  Sign up now!	Essayez AIM, AOL Messager et dialoguez en direct avec vos amis, collègues, parents. C'est facile, confidentiel et surtout GRATUIT ! Enregistrez-vous dès maintenant !
Don't show this dialog again	Ne plus afficher cette boîte de dialogue
Network Connection	Connexion Internet
What type of network connection do you use?	De quel type de connexion Internet disposez-vous ?
Dial-up modem	Modem téléphonique
Local Area Network or cable modem	Réseau local ou modem câblé
AOL Instant Messenger (SM) Screen Name	Pseudonyme AIM
Register new screen name	S'enregistrer à AIM
Use AOL screen name	Utiliser votre pseudonyme AOL
If you are an AOL member, use your AOL screen name for the AOL Instant Messenger (SM) service.  Otherwise, you will need to register a new screen name.	Si vous êtes abonné à AOL, utilisez votre pseudonyme AOL pour vous connecter à AIM. Dans le cas contraire, enregistrez-vous à AIM.
If you already have an AIM screen name and don't want to register a new one, press Cancel.	Si vous disposez déjà d'un pseudonyme AIM cliquez sur Annuler, à moins que vous ne vouliez enregistrer un nouveau pseudonyme.
Sign on a Friend Today!	Faites découvrir AIM, AOL Messager à vos amis !
Chat instantly with any of your friends who have Internet access - it's FREE!  Just fill in the form below and we will send your friend a personalized invitation with all the information they need to try AOL Instant Messenger today!	Discutez instantanément et GRATUITEMENT avec vos amis ou contacts professionnels ayant un accès Internet ! Complétez les champs ci-dessous et nous enverrons à la personne de votre choix une invitation personnalisée afin qu'elle vous rejoigne sur AIM.
Please enter your friend's e-mail address (only one address allowed)\r\n(for example, name@company.com):	Adresse électronique du destinataire (ex : nom@société.com) :
Add your own personalized greeting or message below:	Tapez un message :
As soon as your friend has registered, we will notify you of their screen name, and automatically add it to your Buddy List window.  You'll always know who's online!  Staying in touch couldn't be easier!	Dès l'enregistrement du destinataire, nous vous ferons connaître son pseudonyme et l'ajouterons automatiquement à votre répertoire AIM. De cette façon, vous saurez à tout moment qui est en ligne !
Your personalized invitation has been sent to:	Votre invitation personnalisée a été envoyée à :
your Internet friend.	votre contact Internet.
You will also receive a copy of this personalized invitation.	Vous allez recevoir également une copie de cette invitation.
As soon as your friend registers, we will notify you of their screen name, and automatically add it to your Buddy List window.  You can then chat instantly!	Dès l'enregistrement de cette personne, nous vous informerons de son pseudonyme et l'ajouterons automatiquement à votre répertoire AIM. Vous pourrez alors discuter instantanément en ligne avec elle !
Click the Back button below to add more friends!	Cliquez sur Précédent pour faire découvrir AIM à d'autres personnes !
Sign On a Friend	Faites découvrir AIM, AOL Messager à vos amis !
Your request to Sign On a Friend was not able to be processed.  Please send your buddy mail directly telling them about AOL Instant Messenger.  Click the Finish button to close this window.	Votre demande d'enregistrement d'un nouvel utilisateur n'a pas pu être traitée. Veuillez le contacter directement. Cliquez sur Terminer pour fermer cette fenêtre.
Find a Buddy by E-mail Address	Rechercher un contact par son adresse électronique
Type your Internet friend's e-mail address below to find out if your friend is a member of the Instant Messenger(SM) service!	Tapez l'adresse électronique de votre contact pour savoir s'il utilise AIM.
Click the Next button to continue.	Cliquez sur Suivant pour continuer.
Your Internet friend has registered the screen names listed to the right.  To add one of the screen names to your Buddy List, complete the following steps:	Le contact que vous recherchez utilise les pseudonymes ci-dessous. Pour ajouter l'un d'eux à votre répertoire, effectuez les étapes suivantes :
Click the Finish button when you are done adding screen names.	Cliquez sur Terminer après avoir ajouté tous les pseudonymes voulus.
Click the Back button to look up another friend.	Cliquez sur Précédent si vous souhaitez rechercher une autre personne.
Your Internet friend has registered under that e-mail address, but does not wish to reveal his or her screen name.  Please send e-mail to your friend to ask for his or her AOL Instant Messenger screen name.	Le contact que vous recherchez s'est bien enregistré avec cette adresse électronique mais il ne souhaite pas communiquer son pseudonyme. Envoyez-lui un courrier électronique afin qu'il vous le transmette.
We could not locate an AOL Instant Messenger(SM) member with the e-mail address you entered.	Aucun utilisateur d'AIM n'a été trouvé avec l'adresse électronique que vous avez indiquée.
If you want to be able to communicate with your friend, then click the Next button and you'll be able to send your friend a personalized invitation to join AIM!	Pour communiquer avec cette personne, cliquez sur Suivant afin de l'inviter à vous rejoindre sur AIM.
Please Wait	Veuillez patienter
Please wait while we send the request to the host...	L'envoi de la requête est en cours. Veuillez patienter...
Unknown Error	Erreur inconnue
An unknown error occurred.  Please try again later.	Une erreur inconnue est survenue.  Veuillez recommencer ultérieurement.
Unable to Process Request	Traitement de la requête impossible
You cannot use this feature because you are not a confirmed AOL Instant Messenger(SM) user.	Vous ne pouvez pas utilisez cette fonction car vous n'avez pas confirmé votre enregistrement auprès de notre service.
Send Me Confirmation Mail...	Message de confirmation...
If you wish to become a registered user, click the button below.  You will be sent e-mail requesting you to reply so that we may verify your account.	Pour confirmer votre enregistrement, cliquez sur le bouton ci-dessous. Vous recevrez un courrier électronique auquel vous devrez répondre pour que nous puissions vérifier votre compte.
Rate Limited	Seuil autorisé atteint
You cannot use the Find a Buddy feature at this time because you are over the rate limit. Please try again later.	La fonction Rechercher un contact n'est pas disponible actuellement car vous avez atteint le seuil autorisé. Veuillez renouveler votre tentative ultérieurement.
Join Room	Entrer dans un salon
Room Name:	Nom du salon :
Exchange:	Exchange:
Instance:	Instance:
Choose Your Directory Entry	Définir la carte de visite
Use Client Entry:	Carte - client :
Use Host Entry:	Carte - serveur :
The directory entry that is on the host is different from the one on your current machine.  Choose which you would like to use and then hit the OK button.	La carte de visite existant sur le serveur est différente de celle qui est enregistrée sur votre ordinateur. Choisissez celle que vous voulez utiliser et cliquez sur OK.
The Search Functionality is Currently  Unavailable	Fonction de recherche non disponible
We are sorry, but the search functionality is currently unavailable.  Please try again later.	La fonction de recherche n'est pas disponible actuellement. Veuillez faire une nouvelle tentative ultérieurement.
Find a Buddy - Need More Information	Rechercher un contact - Informations supplémentaires requises
The information you provided matches too many Directory entries.  To generate a lower number of search results, please narrow your search by providing additional information.	Trop d'entrées ont été trouvées. Indiquez des critères supplémentaires afin de délimiter la recherche.
Find a Buddy - Failure	Echec de la recherche d'un contact
We couldn't locate an AOL Instant Messenger user with the name and address you entered.	Aucun utilisateur d'AIM correspondant au nom et à l'adresse indiqués n'a été trouvé.
Click the Back button to try the search again.	Cliquez sur le le bouton Précédent, puis relancez la recherche.
Request Failed	Echec de la requête
We could not process your request for a search at this time.  The most likely cause is the server is not available at this time.  Please try again later.	La recherche n'a pas pu être traitée en raison d'une indisponibilité probable du serveur. Veuillez renouveler votre tentative ultérieurement.
The first or last name must be present when doing a search by name.  All other fields are optional, but will help narrow your search.	Vous devez indiquer au moins le prénom ou le nom du contact recherché, dans le cas d'une recherche par le nom. Les autres champs sont facultatifs ; cependant ils permettent d'affiner la recherche.
Lookup Reply List	Résultats de la recherche
My Privacy	Confidentialité
A search has found the following screen names that match your search criteria.	Les pseudonymes suivants, correspondant aux critères de recherche que vous avez indiqués, ont été trouvés :
%4.0u member(s) were found.	%4.0u personne(s) trouvée(s).
Create a Profile - Searchable Directory	Créer une carte de visite - Vos coordonnées
Allow People to Search for Me	Permettre aux utilisateurs de me retrouver
Allow only AOL Instant Messenger users to be able to see this	Permettre aux utilisateurs d'AIM uniquement de consulter ces informations
First	Prénom :
Middle	Middle
Last	Nom :
Maiden	Maiden
City	Ville :
State	State
Zip Code	Code postal :
Country	Pays :
Street Address	Adresse :
Nickname	Surnom :
information (users on the Web will not be able to view your Profile).	(elles ne seront pas visibles par les internautes).
Note: You do not need to enter name and address information to use AOL Instant Messenger.	Remarque : il n'est pas nécessaire d'indiquer vos nom et adresse pour utiliser AIM.
Find a Buddy By Name and Address	Rechercher un contact par son nom et son adresse
Edit My Directory Entry	Modifier ma carte
Enter information about your friend in the fields below, then click Next.  The more information you can provide, the greater the chance of finding him or her.	Indiquez les informations demandées pour la personne que vous recherchez, puis cliquez sur Suivant. Plus vous entrez d'informations, plus la recherche a de chances d'aboutir.
To find out if your friend is a user of the AOL Instant Messenger (SM) service, type his or her e-mail address below, then click Next.	Tapez l'adresse électronique de votre contact pour savoir s'il utilise AIM.
E-mail address:	Adresse électronique :
An example of an e-mail address is name@company.com.	Adresse électronique du contact (ex : nom@société.com)
You can also enter a person's e-mail address into the Buddy List when you add a buddy; just type in their e-mail address instead of their screen name.	Vous pouvez également procéder à la recherche en entrant directement l'adresse électronique de votre contact dans la fenêtre principale, à l'onglet Répertoire. Lorsque vous validerez l'entrée, la fonction de recherche se déclenchera automatiquement.
Welcome!	Bienvenue !
Remember:  You can always get back here by clicking the Back button or by selecting "New User Wizard" from the File Menu.	Rappel : pour revenir à cet écran, cliquez sur Précédent ou sélectionnez l'option Assistant dans le menu Aide.
This Wizard will help you get started with the AOL Instant Messenger (SM) service.  It can provide you with a quick overview and also guide you through the basic steps to set it up.	Cet assistant vous aidera à bien utiliser AIM, AOL Messager. Il présente brièvement AIM ainsi que les fonctions de base.
Using your mouse, click on the button next to the topic you are interested in learning more about.  Then click the Next button.	Choisissez l'un de ces trois thèmes et cliquez sur Suivant.
Quick Overview	Présentation rapide
Add/Find a Buddy	Ajouter/Rechercher un contact
Create your profile	Créer votre carte de visite
Remember:  You can always get back here by clicking the Back button or by selecting "Find a Buddy Wizard" from the People Menu.	Rappel : pour revenir à cet écran à tout moment, cliquez sur Précédent ou utilisez l'option correspondante dans le menu Contacts.
There are three different ways to find a buddy's screen name.  Using your mouse, click on the button next to the one method you'd like to use.	Vous pouvez rechercher un contact des deux façons suivantes ; cliquez sur l'option de votre choix :
by E-mail address	par son adresse électronique
by name and address	par son nom et son adresse postale
by common interest	by common interest
Add a Buddy	Ajouter un contact au répertoire
If you know your buddy's screen name, you can add them to your Buddy List right away.  If you don't know their screen name, don't worry.  We will help you find your friends that may already be on AIM and get those that aren't on yet invited to join.	Si vous connaissez le pseudonyme d'un de vos contacts, ajoutez-le directement à votre répertoire. Sinon, retrouvez-le s'il utilise AIM ou proposez-lui de découvrir AIM.
The Buddy List wizard helps you find and add online friends and colleagues to your Buddy List window.	Cet assistant est destiné à vous aider à retrouver des amis ou contacts professionnels afin de les inclure dans votre répertoire de contacts AIM.
Screen Name:	Pseudonyme :
If you know your buddy's screen name go on and enter it below, otherwise leave the Screen Name field blank and click Next. You can add more buddies later by clicking on the "List Setup" tab in the Buddy List.	Si vous connaissez le pseudonyme de votre contact, tapez-le ci-dessous. Sinon, cliquez sur Suivant sans remplir le champ.
Add a Buddy Complete	Contact ajouté au répertoire
Your buddy has successfully been added to the group listed below.	Votre contact a été ajouté au groupe ci-dessous.
Buddy:	Contact :
Group:	Groupe :
Click New Group to add your buddy to an additional group.	Cliquez sur Nouveau groupe pour ajouter ce contact à un autre groupe.
Click Back to find or add another buddy.	Cliquez sur Précédent pour retrouver ou ajouter un autre contact.
New Group	Nouveau groupe
We couldn't locate an AOL Instant Messenger user with the e-mail address you entered.	La recherche avec l'adresse électronique que vous avez indiquée a échoué.
Why not send your friend a personalized invitation to join AOL Instant Messenger?  Once your friend joins, the two of you will be able to communicate using this service!  Just click the Next button below.	Pourquoi ne pas envoyer à la personne que vous recherchez une invitation personnalisée afin qu'elle s'enregistre à AIM ? Vous pourrez alors communiquer avec elle sur AIM ! Pour cela, cliquez sur Suivant.
AOL Instant Messenger Overview	Présentation d'AIM, AOL Messager
*  Best of all, you don't need an AOL account to use AOL Instant Messenger!	*  Vous n'avez pas besoin d'un compte AOL pour utiliser AIM !
*  AOL Instant Messenger allows you to communicate instantly with any of your friends, family, or co-workers when they are online.	*  AIM vous permet de communiquer instantanément avec vos amis, votre famille ou vos collègues disposant d'une connexion Internet.
* From home or work, you can stay in immediate contact with anyone using AOL or AOL Instant Messenger.	* Depuis votre domicile ou votre lieu de travail, AIM vous aide à rester en contact avec tout utilisateur d'AIM ou tout membre d'AOL.
AOL Instant Messenger Overview - Buddy List	Présentation d'AIM, AOL Messager - Répertoire de contacts
*  Group them in categories so you can immediately see when your work colleagues, family members, or sports buddies are available.	*  Répartissez vos contacts en différents groupes afin de savoir immédiatement si vos collègues ou vos amis sont en ligne.
*  AIM is easy to use.  Simply create a list of online friends and you're ready to go.	*  AIM est simple à utiliser : il vous suffit de créer votre répertoire de contacts, c'est-à-dire la liste des personnes avec lesquelles vous voulez discuter.
*  You can see when they come online and chat with them privately.	*  Vous pouvez savoir à tout moment si ces personnes sont connectées et entamer avec elles une discussion en privé.
AOL Instant Messenger Overview - Buddy Privacy	Présentation d'AIM, AOL Messager - Options de confidentialité
Privacy is very important on the Internet.  With AIM, you control your level of privacy:	Avec AIM vous disposez d'options de confidentialité qui vous permettent notamment de :
* You control who can see when you're online and who can send you instant messages.	* Définir quels utilisateurs peuvent savoir quand vous êtes connecté et quels utilisateurs peuvent vous envoyer des messages.
* You control whether others can find you by your e-mail address.	* Spécifier si vous acceptez les recherches sur votre adresse électronique.
* You control whether others can find you by your AIM personality/identity.	* Spécifier si vous acceptez les recherches sur votre carte de visite.
* You can even control whether others know when you're idle.	* Spécifier si vous souhaitez informer les utilisateurs que vous êtes connecté mais "inactif".
Your ability to control your privacy level allows you to communicate with anybody in the AOL Instant Messenger community or just a small group of friends.	Ces options de confidentialité vous permettent de communiquer avec tous les utilisateurs d'AIM ou un petit groupe uniquement.
The choice is yours!	A vous de choisir !
AOL Instant Messenger Overview - Neighborhood Watch (SM)	Présentation d'AIM, AOL Messager - Sécurité
As a member of the AOL Instant Messenger community you help regulate it.	En tant que membre de la communauté d'AIM, il vous appartient de veiller à la sécurité de votre environnement.
If people send you annoying or offensive messages, you can send them a warning.	Si des utilisateurs vous envoient des messages inconvenants, vous pouvez leur envoyer un blâme.
Warnings are visible to others so they can alert people to potential troublemakers.  If enough warnings are imposed on someone, that person can be bumped off the service temporarily.	Les blâmes étant visibles par tous, ils permettent de signaler les utilisateurs indésirables. Lorsqu'un utilisateur a reçu de nombreux blâmes, l'accès à AIM peut lui être temporairement interdit.
* Always use caution when communicating with people you don't know.  Never reveal your password!	* Soyez toujours prudent lorsque vous discutez avec des personnes que vous ne connaissez pas. Ne leur communiquez jamais votre mot de passe !
AOL Instant Messenger Overview - My Profile	Présentation d'AIM, AOL Messager - Carte de visite
You can establish your AIM personality easily with the Create My Personality Wizard.  It's important to define your AIM personality so that your friends can easily find you.	Vous pouvez créer votre carte de visite et permettre ainsi à vos contacts de vous retrouver facilement.
Of course, as with other aspects of AIM, you control what parts of your AIM personality can be seen by others.	Bien entendu, il vous appartient de n'indiquer que les informations que vous souhaitez communiquer aux autres.
Set Up AOL Instant Messenger Now!	Configuration d'AIM, AOL Messager
Congratulations!  You have completed the AOL Instant Messenger Overview.  If you would like to set up your Buddy List, Buddy Privacy, or AIM Personality now, click on that button below.	La présentation d'AIM est terminée. Pour créer votre répertoire de contacts, définir des options de confidentialité ou votre carte de visite, cliquez sur le bouton approprié ci-dessous.
Welcome to the AOL Instant Messenger community and have fun!	Bienvenue sur AIM, AOL Messager !
Buddy List	Répertoire
AIM Personality	Carte de visite
Create a Profile - Directory Profile Tips	Créer une carte de visite - Astuces
A Directory profile provides a way for people to find you by searching for you.  The first part of your Directory profile is simply used to allow friends, family and colleagues to find you by name and address.	La carte de visite que vous allez créer est destinée à aider les utilisateurs qui vous recherchent à vous retrouver. La première partie de votre carte leur permettra notamment de vous retrouver par votre nom et votre adresse.
Directory Interest and Example	Centres d'intérêt
If you like to chat with people online that have similar interests as you do, including some keywords or phrases which describe those interests in your Directory Profile is a great way to get started.	Pour discuter en ligne avec des personnes partageant vos centres d'intérêt, nous vous conseillons d'indiquer, des mots clés ou des termes représentatifs de vos centres d'intérêt.
Think about what you like to do, discuss, or participate in with regard to...	Par exemple...
*hobbies *sports *clubs or organizations *your education or profession *entertainment *home, family, religion *news  politics *community  lifestyle	*passe-temps *sports *clubs *études ou profession *loisirs *famille, religion *actualité  politique *community  lifestyle
Here's an example of a husband and wife who each created separate Profiles:	Here's an example of a husband and wife who each created separate Profiles:
Penn State, jazz	Penn State, jazz
cooking, mutual funds	cooking, mutual funds
working mother, Spanish, running	working mother, Spanish, running
football, cigars, sushi	football, cigars, sushi
Elaine	Elaine
David	David
Create a Profile - More Info Profile Tips	Créer un profil - Astuces
The More Info area is a great place to provide more detailed and customized information about your likes, dislikes, provide links to your favorite Web hangouts, and describe yourself in a way which expresses your true personality.  Remember to:	La fenêtre Créer un profil vous permet de détailler et de personnaliser les informations que vous souhaitez faire connaître à votre sujet. Vous pouvez notamment :
* Include a link to your home page and favorite web site	* créer un lien vers votre page personnelle et votre site web préféré ;
* Take advantage of the toolbar provided which lets you use cool fonts and colors	* tirer partie des options de la barre d'outils (polices et couleurs originales) ;
* Add smiles :)	* utiliser des smileys :).
Create a Profile - Chat Interests	Create a Profile - Chat Interests
I am available for chat	I am available for chat
Choose Interest>>	Centres d'intérêt>>
Your Directory entry can also contain up to five areas of interest.  These areas can include hobbies, interests, profession, etc.  These entries let people find you for random chat.	Your Directory entry can also contain up to five areas of interest.  These areas can include hobbies, interests, profession, etc.  These entries let people find you for random chat.
Create a Profile - More Info	Créer un profil - Informations complémentaires
You can add more detailed information about yourself and your areas of interest, including links to your e-mail address and web sites.	Vous pouvez noter ici vos centres d'intérêt personnels ou professionnels, en créant notamment des liens hypertexte vers votre adresse électronique et vos sites web.
This information is not linked to the Directory, so only AOL Instant Messenger users can see it.	Seuls les utilisateurs d'AIM peuvent voir ces informations. Elles sont accessibles par le biais du bouton Info.
Find a Buddy By Common Interest	Rechercher un contact par ses centres d'intérêt
To find a buddy to talk with who shares one of your interests, click the 'Choose Interest>>' button, select an interest, then click Next.	Pour rechercher un utilisateur d'AIM partageant vos centres d'intérêt et avec qui discuter, cliquez sur le bouton ci-dessous, choisissez un centre d'intérêt, puis cliquez sur Suivant.
To edit your own Directory entry, click the 'Edit My Directory Entry' button.	Pour modifier votre carte de visite, cliquez sur le bouton ci-dessous.
IM	Message
The following people are interested in "%s".	Les personnes suivantes sont intéressées par : "%s".
We couldn't locate an AOL Instant Messenger user with the interests you entered.	Aucun utilisateur d'AIM correspondant au nom et à l'adresse indiqués n'a été trouvé.
Click the Back button to search on different interest.	Click the Back button to search on different interest.
User Info:	Informations utilisateur
Buddy Chat Room Info	Informations sur le salon
Maximum Message Length:	Langue :
Language:	Créé :
Created:	Nom du salon :
Are you sure you want to exit AOL Instant Messenger?	Voulez-vous vraiment quitter AIM, AOL Messager ?
Buddy Chat	Discussion
Flash window when messages are received	Signaler la réception de messages par un clignotement de la fenêtre de discussion
Show announcements when users enter and leave room	Signaler les entrées et les sorties des interlocuteurs
Play a sound when messages are received	Signal sonore à la réception des messages
Play a sound when sending a message	Signal sonore lors de l'envoi des messages
Block all incoming Chat Invitations	Bloquer la réception des invitations
Chat Room Window	Fenêtre de discussion
Buddy Has Not Responded to Invitation	Invitation sans réponse
Your Internet friend below has not yet responded to your invitation to join AIM.	La personne que vous avez invitée à vous rejoindre sur AIM n'a pas encore répondu.
Do you wish to send them another invitation?	Voulez-vous lui envoyer une nouvelle invitation ?
was sent on:	a été envoyée le :
Your invitation to:	Votre invitation à :
Do not tell me this again.	Ne plus afficher ce message
Member profiles in the AIM Member Directory can be seen by all AIM members. Do not post any information you want to keep private.	Les informations disponibles dans l'annuaire des utilisateurs d'AIM sont visibles par tous les utilisateurs d'AIM. N'indiquez aucune information que vous ne souhaitez pas divulguer.
Trust this application in the future.	A l'avenir, lancer cette application par défaut.
<path and name of application to be launched>	<chemin et nom de l'application à lancer>
Unknown Handler	Unknown Handler
Set as default application.	Définir comme application par défaut
Unable to find an application to handle the protocol "%s" of the hyperlink you selected.\r\rPlease type in the path of the application to handle this URL or click the Browse button.	Impossible de trouver une application gérant le protocole "%s" de l'hyperlien que vous avez sélectionné. Indiquez le chemin d'accès à l'application permettant de gérer cette URL, ou cliquez sur Parcourir.
Enter buddy screen name	AIM, AOL Messager
Enter the screen name of the buddy:	Entrez le pseudonyme du contact :
Ticker	Ticker
Display Ticker at Signon	Afficher le ticker dès la connexion
Top News	France
Business	International
Entertainment	Economie
Sports	Sports
Display Headlines in bold	Afficher les titres en gras
Look up ticker symbols	Look up ticker symbols
DJIA	DJIA
Stock Alerts	Stock Alerts
Show stock ticker in Buddy List window	Show stock ticker in Buddy List window
Scroll stocks smoothly	Scroll stocks smoothly
News Ticker	Ticker Infos
Refresh every:	Actualiser :
Display speed:	Vitesse de défilement :
Stock Ticker	Stock Ticker
Enter up to 40 symbols separated by commas (indices checked below count in total):	Enter up to 40 symbols separated by commas (indices checked below count in total):
Topics	Topics
Stop Trying to Reconnect	Annuler la connexion
Attempting to reconnect to the AIM service.	Tentative de connexion à AIM, AOL Messager.
Attempt #%d out of %d...	#%d tentative sur  %d...
Connection interrupted.	Connexion interrompue.
Don't show this dialog again.	Ne plus afficher cette fenêtre
Don't automatically reconnect next time.	Ne pas rétablir la connexion ultérieurement
Virus Checker	Antivirus
WARNING:	ATTENTION !
If you don't have anti-virus software on your computer, please install some before accepting files.	Si votre ordinateur n'est pas équipé d'un logiciel anti-virus, veillez à en installer un avant d'accepter des fichiers.
View Anti-Virus Warning dialog	Afficher la fenêtre d'information sur les virus
Check files for virus after transfer	Lancer l'anti-virus après le téléchargement des fichiers
Virus checker:	Logiciel anti-virus :
Virus checker location:	Chemin d'accès :
Command line parameters:  (for advanced users only)	Propriétés avancées  :
Note: see Help for a full explanation of the possible command line options.  Use %1 for the file path, %d for the directory, %f for the file name, \r\n%L for filename of file containing list of files	Les principaux commutateurs disponibles pour le paramétrage du logiciel anti-virus sont :  %1 pour le chemin d'accès, %d pour le répertoire, %f pour le nom du fichier, %L pour le nom du document contenant la liste des fichiers. Pour plus d'informations, consultez l'aide en ligne d'AIM, AOL Messager.
File Transfer	Transfert de fichiers
Allow Receive File access from:	Qui peut transférer des fichiers sur mon ordinateur :
No One	Personne
Display Receive File Dialog for everyone	Afficher systématiquement la fenêtre d'avertissement
Only users on Buddy List	Uniquement les contacts figurant dans mon répertoire
Everyone	Tous les utilisateurs
Allow Get File access to:	Qui peut accéder en téléchargement à mon ordinateur :
Allow only users in Buddy group:	Uniquement le groupe :
For users on my Buddy List:	Contacts figurant dans mon répertoire :
Allow	Oui
Display Approve Dialog	Afficher  l'avertissement
Don't Allow	Non
For users not on my Buddy List:	Contacts ne figurant pas dans mon répertoire :
Display Approve Dialog	Afficher l'avertissement
Never display Status dialog	Ne jamais afficher la fenêtre d'état
Keep a record in logfile.txt of who has gotten files	Enregistrer les retraits dans le fichier logfile.txt
Directory from where others can get my files or I send files:	Chemin d'accès à mes fichiers disponibles en téléchargement :
Directory to put files I receive:	Répertoire par défaut des fichiers téléchargés :
Initial transfer speed:	Vitesse initiale :
To Buddy:	Envoi :
Fast	Grande
Medium	Moyenne
Slow	Petite
From Buddy:	Réception :
Port number to use:	Port sélectionné :
If you don't have anti-virus software on your computer, please install some before accepting files.	Si vous ne disposez pas d'un anti-virus, installez-en un avant d'accepter des fichiers.
Select Directory	Chemin d'accès
Start Get File	Récupérer un fichier
File to get:  (leave blank to get list of files,  *  to get all)	Nom du fichier (pour obtenir une liste ou tous les fichiers, ignorez ce champ ou tapez *)
Warning:  When you get a file your buddy may be able to\ndetermine your IP address, which is a potential security risk.\nMake sure you know and trust your buddy.	Attention ! La récupération de fichiers permet à votre contact d'identifier votre adresse IP, ce qui constitue un risque pour votre ordinateur. N'échangez des fichiers qu'avec des personnes en qui vous avez entièrement confiance.
Check file for virus after transfer	Lancer l'anti-virus après le transfert
Open file after transfer	Ouvrir le fichier après le transfert
Get	Récupérer
Start Send File	Envoyer un fichier
File or Directory to send:	Fichier ou dossier à envoyer :
Enter a description of the file so your buddy can decide whether to accept it:	Description du fichier à l'attention du destinataire :
Warning:  When you send a file your buddy may be able to determine your IP address, which is a potential security risk.	Attention ! L'envoi de fichiers permet à votre contact d'identifier votre adresse IP, ce qui constitue un risque pour votre ordinateur.
Make sure you know and trust your buddy.	N'échangez des fichiers qu'avec des personnes en qui vous avez entièrement confiance.
Start Receive File	Récupérer un fichier
Local file name	Nom d'origine du fichier :
File description:	Description du fichier :
Warning:  When you receive a file your buddy may be able to determine your IP address, which is a potential security risk.  Make sure you know and trust your buddy.	Attention ! La récupération de fichiers permet à votre contact d'identifier votre adresse IP, ce qui constitue un risque pour votre ordinateur. N'échangez des fichiers qu'avec des personnes en qui vous avez entièrement confiance.
Accept	Accepter
Anti-Virus Warning	Antivirus - Avertissement
Don't ask me again!	Ne plus afficher cette fenêtre
Approve Get File Request	Accepter la récupération de fichier
Virus Checker Failed	Contrôle positif
The virus checker did not complete successfully; it may have deleted the file.  If not, do you want to keep the file?	Un virus a été détecté lors de la vérification du fichier par le logiciel anti-virus. Si le fichier n'a pas déjà été supprimé par l'anti-virus, souhaitez-vous le conserver ?
The virus checker did not complete successfully; it may have deleted the infected files, or you may have to run it manually to see what files failed so that you can delete them.	Un virus a été détecté lors de la vérification des fichiers. Si les fichiers concernés n'ont pas été directement supprimés, lancez le logiciel anti-virus afin de les identifier et de les supprimer manuellement.
File Transfer Status	Etat du transfert de fichiers
Pause	Pause
File Listing	Liste de fichiers
Stop	Arrêter
Do you want AOL Instant Messenger(SM) to start automatically when Windows starts?	Souhaitez-vous le lancement automatique d'AIM, AOL Messager au démarrage de Windows ?
IM Images	Transfert d'images
Don't display start dialog.	Ne pas afficher la fenêtre Initier le transfert d'images
Don't display status dialog.	Ne pas afficher la fenêtre d'état
