New	Neu
Instance:	Instanz:
Choose Your Directory Entry	Verzeichniseintrag wählen
Use Client Entry:	Client-Eintrag benutzen:
Use Host Entry:	Host-Eintrag benutzen:
The directory entry that is on the host is different from the one on your current machine.  Choose which you would like to use and then hit the OK button.	Der Verzeichniseintrag auf dem Host unterscheidet sich von dem im Client. Wählen Sie, welchen Sie benutzen wollen und klicken dann auf "OK".
The Search Functionality is Currently  Unavailable	Die Suchfunktion ist zur Zeit nicht verfügbar.
We are sorry, but the search functionality is currently unavailable.  Please try again later.	Die Suchfunktion ist zur Zeit nicht verfügbar. Bitte versuchen Sie es später erneut.
Find a Buddy - Need More Information	Buddy suchen - Mehr Information wird benötigt
The information you provided matches too many Directory entries.  To generate a lower number of search results, please narrow your search by providing additional information.	Ihre Suchanfrage erhält zuviele Treffer. Um eine geringere Trefferquote zu erhalten, können Sie Ihre Suche  durch die Eingabe weiterer Suchkriterien einschränken.
Find a Buddy - Failure	Buddy suchen - Fehler
We couldn't locate an AOL Instant Messenger user with the name and address you entered.	Wir konnten keinen AOL Instant Messenger(SM)-Benutzer mit dem angegebenen Namen und Adresse ermitteln.
Click the Back button to try the search again.	Klicken Sie auf "Zurück", um es erneut zu versuchen.
Request Failed	Anfrage gescheitert
We could not process your request for a search at this time.  The most likely cause is the server is not available at this time.  Please try again later.	Ihre Suchanfrage kann zur Zeit nicht verarbeitet werden. Wahrscheinlich ist der Server gegenwärtig nicht verfügbar. Bitte versuchen Sie es später erneut .
The first or last name must be present when doing a search by name.  All other fields are optional, but will help narrow your search.	Für die Suche nach Namen muß der Vor- und Nachname angegeben werden. Alle anderen Angaben sind optional, können aber dabei helfen, die Suchergebnisse weiter einzuschränken.
Lookup Reply List	Suchergebnis
My Privacy	Meine Privatsphäre
A search has found the following screen names that match your search criteria.	Die Suche ergab die folgenden AIM-Namen, die Ihren Suchkriterien entsprechen.
%4.0u member(s) were found.	%4.0u Mitglied(er) gefunden
Create a Profile - Searchable Directory	Profil erstellen - Zu durchsuchendes Verzeichnis
Allow People to Search for Me	Gestatten, daß Personen nach mir suchen
Allow only AOL Instant Messenger users to be able to see this	Nur AOL Instant Messenger-Benutzern gestatten, dies anzuzeigen
First	Vorname
Middle	Zweiter Name
Last	Nachname
Maiden	Mädchenname
City	Stadt
State	Bundesland
Zip Code	PLZ
Country	Land
Street Address	Straße
Nickname	Rufname
information (users on the Web will not be able to view your Profile).	Informationen (Web-Benutzer sind nicht in der Lage, Ihr Profil anzuzeigen).
Note: You do not need to enter name and address information to use AOL Instant Messenger.	Hinweis: Angabe von Name und Adresse sind nicht notwendig, um AOL Instant Messenger benutzen zu können.
Find a Buddy By Name and Address	Buddy per Name und Adresse suchen
Edit My Directory Entry	Meinen Verzeichniseintrag bearbeiten
Enter information about your friend in the fields below, then click Next.  The more information you can provide, the greater the chance of finding him or her.	Geben Sie Informationen über Ihren Freund in die nachstehenden Felder ein, und klicken Sie auf "Weiter". Je mehr Informationen Sie bereitstellen, desto größer wird die Chance, daß Sie ihn/sie finden.
To find out if your friend is a user of the AOL Instant Messenger (SM) service, type his or her e-mail address below, then click Next.	Um herauszufinden, ob Ihr Freund ein Benutzer des AOL Instant Messenger(SM)-Service ist, geben Sie unten seine eMail-Adresse ein und klicken auf "Weiter".
E-mail address:	eMail-Adresse:
An example of an e-mail address is name@company.com.	Ein Beispiel einer eMail-Adresse ist name@company.com.
You can also enter a person's e-mail address into the Buddy List when you add a buddy; just type in their e-mail address instead of their screen name.	Sie können die eMail-Adresse einer Person auch beim Hinzufügen eines Buddys in die Buddy-Liste eingeben; geben Sie einfach anstelle des AIM-Namens dessen eMail-Adresse ein.
Welcome!	Willkommen!
Remember:  You can always get back here by clicking the Back button or by selecting "New User Wizard" from the File Menu.	Denken Sie daran: Durch Klicken auf "Zurück" oder Auswahl von "Neuer Benutzerassistent" aus dem Menü "Datei" können Sie stets hierher zurückkehren.
This Wizard will help you get started with the AOL Instant Messenger (SM) service.  It can provide you with a quick overview and also guide you through the basic steps to set it up.	Dieser Assistent leitet Sie durch den AOL Instant Messenger(SM)-Service. Er bietet Ihnen einen kurzen Überblick und erläutert die grundlegenden Schritte der Einrichtung.
Using your mouse, click on the button next to the topic you are interested in learning more about.  Then click the Next button.	Klicken Sie mit Ihrer Maus auf die Schaltfläche neben dem Thema, über das Sie mehr erfahren möchten, und anschließend auf "Weiter".
Quick Overview	Kurzübersicht
Add/Find a Buddy	Buddy hinzufügen/suchen
Create your profile	Profil erstellen
Remember:  You can always get back here by clicking the Back button or by selecting "Find a Buddy Wizard" from the People Menu.	Denken Sie daran: Durch Klicken auf "Zurück" oder Auswahl von "Buddy--Assistent" aus dem Menü "Leute" können Sie stets hierher zurückkehren.
There are three different ways to find a buddy's screen name.  Using your mouse, click on the button next to the one method you'd like to use.	Es gibt drei Möglichkeiten, nach dem AIM-Namen eines Buddy zu suchen.  Klicken Sie mit der Maus auf die Schaltfläche neben der gewünschten Methode.
by E-mail address	per eMail-Adresse
by name and address	per Name und Adresse
by common interest	nach gemeinsamen Interessen
Add a Buddy	Buddy hinzufügen
If you know your buddy's screen name, you can add them to your Buddy List right away.  If you don't know their screen name, don't worry.  We will help you find your friends that may already be on AIM and get those that aren't on yet invited to join.	Wenn Sie den AIM-Namen Ihres Buddys kennen, können Sie ihn unmittelbar in Ihre Buddy-Liste aufnehmen. Wenn Sie den AIM-Namen nicht kennen, werden wir Ihnen helfen, Ihre Freunde zu finden, die  bereits bei AIM registriert sind, und diejenigen, die noch nicht registriert sind, zum Beitritt auffordern.
The Buddy List wizard helps you find and add online friends and colleagues to your Buddy List window.	Der Buddy-Listenassistent hilft Ihnen, Online-Freunde und Kollegen zu finden und Ihrer Buddy-Liste hinzuzufügen.
Screen Name:	AIM-Name:
If you know your buddy's screen name go on and enter it below, otherwise leave the Screen Name field blank and click Next. You can add more buddies later by clicking on the "List Setup" tab in the Buddy List.	Wenn Sie den AIM-Namen Ihres Buddys kennen, geben Sie ihn nachstehend ein. Andernfalls lassen Sie das Feld "AIM-Name" leer und klicken auf "Weiter". Sie können später weitere Buddys hinzufügen, indem Sie in der Buddy-Liste auf das Register "Liste einrichten" klicken.
Add a Buddy Complete	Buddy ist aufgenommen
Your buddy has successfully been added to the group listed below.	Ihr Buddy wurde zur unten aufgeführten Gruppe hinzugefügt.
Buddy:	Buddy:
Group:	Gruppe:
Click New Group to add your buddy to an additional group.	Wenn Sie Ihren Buddy einer weiteren Gruppe hinzufügen möchten, klicken Sie auf "Neue Gruppe".
Click Back to find or add another buddy.	Wählen Sie "Zurück", um einen anderen Buddy zu suchen.
New Group	Neue Gruppe
We couldn't locate an AOL Instant Messenger user with the e-mail address you entered.	Wir konnten keinen AOL Instant Messenger-Benutzer mit der angegebenen eMail-Adresse ermitteln.
Why not send your friend a personalized invitation to join AOL Instant Messenger?  Once your friend joins, the two of you will be able to communicate using this service!  Just click the Next button below.	Schicken Sie Ihrem Freund doch einfach eine persönliche Einladung, dem AOL Instant Messenger beizutreten? Sobald Ihr Freund beitritt, können Sie über diesen Service kommunizieren! Klicken Sie einfach auf die Schaltfläche "Weiter".
AOL Instant Messenger Overview	Überblick über AOL Instant Messenger
*  Best of all, you don't need an AOL account to use AOL Instant Messenger!	*  Sie brauchen noch nicht einmal einen AOL-Zugang, um den AOL Instant Messenger zu benutzen!
*  AOL Instant Messenger allows you to communicate instantly with any of your friends, family, or co-workers when they are online.	*  AOL Instant Messenger ermöglicht Ihnen, mit Freunden, Familie oder Kollegen zu kommunizieren, wann immer diese online sind.
* From home or work, you can stay in immediate contact with anyone using AOL or AOL Instant Messenger.	* Egal ob von zu Hause oder von Ihrem Büro aus - mit AOL oder AOL Instant Messenger bleiben Sie immer in Verbindung.
AOL Instant Messenger Overview - Buddy List	Überblick über AOL Instant Messenger - Buddy-Liste
*  Group them in categories so you can immediately see when your work colleagues, family members, or sports buddies are available.	*  Gruppieren Sie sie nach Kategorien, damit Sie auf einen Blick sehen, wann Ihre Arbeitskollegen, Familienangehörige oder Sportkameraden ansprechbar sind.
*  AIM is easy to use.  Simply create a list of online friends and you're ready to go.	*  AIM ist einfach zu verwenden. Erstellen Sie einfach eine Liste Ihrer Online-Freunde, und los gehts!
*  You can see when they come online and chat with them privately.	*  Sie sehen sofort, wenn sie online gehen, und können dann privat mit ihnen chatten.
AOL Instant Messenger Overview - Buddy Privacy	Überblick über AOL Instant Messenger - Privatsphäre des Buddy
Privacy is very important on the Internet.  With AIM, you control your level of privacy:	Die Privatsphäre ist ausgesprochen wichtig im Internet. Mit AIM bestimmten stets Sie den Grad der Privatsphäre:
* You control who can see when you're online and who can send you instant messages.	* Sie bestimmen, wer sehen kann, wann Sie online sind, und wer Ihnen Telegramme schicken kann.
* You control whether others can find you by your e-mail address.	* Sie bestimmen, ob andere Sie per Ihrer eMail-Adresse finden können.
* You control whether others can find you by your AIM personality/identity.	* Sie bestimmen, ob andere Sie per Ihrem AIM-Profil/Identität finden können.
* You can even control whether others know when you're idle.	* Sie bestimmen sogar, ob andere wissen können, wann Sie inaktiv sind.
Your ability to control your privacy level allows you to communicate with anybody in the AOL Instant Messenger community or just a small group of friends.	Durch die Fähigkeit, den Grad Ihrer Privatsphäre zu bestimmen, bleibt es Ihnen überlassen, ob Sie mit praktisch der gesamten AOL Instant Messenger-Gemeinschaft oder aber nur mit Ihrem engsten Bekanntenkreis kommunizieren wollen.
The choice is yours!	Die Entscheidung treffen Sie!
AOL Instant Messenger Overview - Neighborhood Watch (SM)	Überblick über AOL Instant Messenger  - Neighborhood Watch(SM)
As a member of the AOL Instant Messenger community you help regulate it.	Als Mitglied der AOL Instant Messenger-Gemeinschaft tragen Sie zu deren Regulierung bei.
If people send you annoying or offensive messages, you can send them a warning.	Wenn Personen Ihnen beleidigende oder anstößige Mitteilungen schicken, können Sie ihnen ein Warnung erteilen.
Warnings are visible to others so they can alert people to potential troublemakers.  If enough warnings are imposed on someone, that person can be bumped off the service temporarily.	Warnungen können von anderen Benutzern eingesehen werden, um so auf potentielle Störenfriede aufmerksam zu machen. Wurden ausreichend Warnungen an eine Person erlassen, kann diese vorübergehend von dem Service ausgeschlossen werden.
* Always use caution when communicating with people you don't know.  Never reveal your password!	* Seien Sie stets vorsichtig, wenn Sie mit Personen kommunizieren, die Sie nicht kennen. Geben Sie nie Ihr Passwort preis!
AOL Instant Messenger Overview - My Profile	Überblick über AOL Instant Messenger  - Mein Profil
You can establish your AIM personality easily with the Create My Personality Wizard.  It's important to define your AIM personality so that your friends can easily find you.	Sie können Ihr AIM-Profil auf einfach Weise mit dem Mein Profil erstellen-Assistenten definieren. Es ist wichtig, daß Sie Ihr AIM-Profil definieren, damit Ihre Freunde Sie problemlos finden können.
Your AIM personality can also allow others who share your same interests to find you for casual chatting.	Ihr AIM-Profil hilft auch anderen Personen, die gemeinsame Interessen mit Ihnen haben, gelegentlich mit Ihnen zu chatten.
Of course, as with other aspects of AIM, you control what parts of your AIM personality can be seen by others.	Wie mit jedem Aspekt von AIM bestimmen Sie, welche Teile Ihres AIM-Profils von anderen gesehen werden.
Set Up AOL Instant Messenger Now!	AOL Instant Messenger jetzt einrichten!
Congratulations!  You have completed the AOL Instant Messenger Overview.  If you would like to set up your Buddy List, Buddy Privacy, or AIM Personality now, click on that button below.	Herzlichen Glückwunsch! Sie haben den Überblick über AOL Instant Messenger abgeschlossen. Wenn Sie Ihre Buddy-Liste, die Privatsphäre Ihres Buddy oder das AIM-Profil jetzt einrichten wollen, klicken Sie auf die jeweilige Schaltfläche.
Welcome to the AOL Instant Messenger community and have fun!	Willkommen in der AOL Instant Messenger-Gemeinschaft und viel Spaß!
Buddy List	Buddy-Liste
My Privacy	Meine Privatshpäre
AIM Personality	AIM-Profil
Create a Profile - Directory Profile Tips	Profil erstellen - Tips
A Directory profile provides a way for people to find you by searching for you.  The first part of your Directory profile is simply used to allow friends, family and colleagues to find you by name and address.	Das Profil-Verzeichnis ermöglicht es anderen, Sie über Ihr Profil zu finden. Durch den ersten Teil Ihres Profils können Freunde und Kollegen Sie per Name und Adresse finden.
Directory Interest and Example	Beispiele
If you like to chat with people online that have similar interests as you do, including some keywords or phrases which describe those interests in your Directory Profile is a great way to get started.	Wenn Sie mit Leuten online chatten möchten, die die gleichen Interessen wie Sie haben, geben Sie ein paar entsprechende Stichwörter in Ihr Profil ein.
Think about what you like to do, discuss, or participate in with regard to...	Denken Sie daran, was Sie gerne mögen, Ihre Hobbies, worüber diskutieren Sie gerne...
*hobbies *sports *clubs or organizations *your education or profession *entertainment *home, family, religion *news  politics *community  lifestyle	*Hobbies *Sport *Clubs oder Vereine *Ausbildung oder Beruf*Entertainment *Heim, Familie, Religion *Politik und Gesellschaft
Here's an example of a husband and wife who each created separate Profiles:	Hier ein Beispiel für ein Paar, das zwei verschiedene Profile angelegt hat:
Penn State, jazz	Jazz
cooking, mutual funds	Kochen, Aktien
working mother, Spanish, running	Kinder und Job, Spanisch
football, cigars, sushi	Fußball, Sushi
Elaine	Sabine
David	Olaf
Create a Profile - More Info Profile Tips	Profil erstellen - Weitere Tips
The More Info area is a great place to provide more detailed and customized information about your likes, dislikes, provide links to your favorite Web hangouts, and describe yourself in a way which expresses your true personality.  Remember to:	Im Bereich "Mehr Info" können Sie sich selbst beschreiben und Links zu Ihren Lieblings-Webseiten einfügen. Vergessen Sie nicht:
More Info Tips and Examples	Tips und Beispiele
* Include a link to your home page and favorite web site	* Fügen Sie einen Link zu Ihrer Homepage ein.
* Take advantage of the toolbar provided which lets you use cool fonts and colors	* Verwenden Sie verschiedene Farben und Schriftarten (einfach über die Symbolleiste).
* Add smiles :)	* Fügen Sie Smileys hinzu :-)
Create a Profile - Chat Interests	Profil erstellen - Chat-Interessen
I am available for chat	Ich bin zu einem Chat bereit.
Choose Interest>>	Interesse wählen>>
Your Directory entry can also contain up to five areas of interest.  These areas can include hobbies, interests, profession, etc.  These entries let people find you for random chat.	Ihr Verzeichniseintrag kann bis zu fünf Interessengebiete enthalten, darunter Hobbies, Interessen, Beruf usw., anhand derer andere Personen Sie für einen gelegentlichen Chat finden können.
Create a Profile - More Info	Profil erstellen - Mehr Infos
You can add more detailed information about yourself and your areas of interest, including links to your e-mail address and web sites.	Sie können detaillierte Informationen über sich selbst und Ihre Interessengebiete eingeben, darunter Links zu Ihrer eMail-Adresse und bestimmten Web-Sites.
This information is not linked to the Directory, so only AOL Instant Messenger users can see it.	Diese Informationen sind nicht mit dem Verzeichnis verknüpft, so daß nur AOL Instant Messenger-Benutzer sie sehen können.
Find a Buddy By Common Interest	Buddy suchen nach gemeinsamen Interessen
To find a buddy to talk with who shares one of your interests, click the 'Choose Interest>>' button, select an interest, then click Next.	Um Buddies zu finden, die jetzt online sind und deren Interessen sich mit Ihren überschneiden, geben Sie ein Suchwort ein und klicken anschließend auf "Weiter".
To edit your own Directory entry, click the 'Edit My Directory Entry' button.	Sind Sie beispielsweise interessiert an Fußball und Fahrradfahren, können Sie eines dieser Wörter unten eingeben.
Edit My Directory Entry	Mein Profil bearbeiten
The following people are interested in "%s".	Die folgenden Personen sind an "%s" interessiert.
We couldn't locate an AOL Instant Messenger user with the interests you entered.	Wir konnten keinen AOL Instant Messenger-Benutzer ermitteln, der die von Ihnen eingegebenen Interessen teilt.
Click the Back button to search on different interest.	Klicken Sie auf "Zurück", um nach anderen Interessen zu suchen.
User Info:	Benutzerinfo:
Buddy Chat Room Info	Chat-Raum Info
Maximum Message Length:	Maximale Mitteilungslänge:
Language:	Sprache:
Created:	Erstellt:
Are you sure you want to exit AOL Instant Messenger?	Wollen Sie AOL Instant Messenger wirklich beenden?
Buddy Chat	Buddy-Chat
Flash window when messages are received	Fenster beim Empfangen einer Mitteilung öffnen
Show announcements when users enter and leave room	Anzeigen, wenn Benutzer den Raum betreten oder verlassen
Play a sound when messages are received	Beim Empfangen einer Mitteilung Töne spielen
Play a sound when sending a message	Beim Schicken einer Mitteilung Töne spielen
Browse...	Durchsuchen...
Block all incoming Chat Invitations	Alle eingehenden Chat-Einladungen sperren
Chat Room Window	Chat-Raum-Fenster
Buddy Has Not Responded to Invitation	Buddy hat Einladung nicht beantwortet.
Your Internet friend below has not yet responded to your invitation to join AIM.	Ihr Internet-Freund hat noch nicht auf Ihre Einladung geantwortet.
Do you wish to send them another invitation?	Möchten Sie eine neue Einladung schicken?
was sent on:	gesendet am:
Your invitation to:	Einladung an:
Do not tell me this again.	Nicht nocheinmal nachfragen.
Member profiles in the AIM Member Directory can be seen by all AIM members. Do not post any information you want to keep private.	Das Mitglieder-Profil kann von jedem AIM-Nutzer gesehen werden. Geben Sie bitte nichts an, was nicht veröffentlicht werden soll.
Trust this application in the future.	Der Anwendung in Zukunft vertrauen
<path and name of application to be launched>	<Pfad und Dateiname der Anwendung, die gestartet werden soll>
Unknown Handler	Unbekannte Anwendung
Set as default application.	Als Standard-Anwendung benutzen
Unable to find an application to handle the protocol "%s" of the hyperlink you selected.\r\rPlease type in the path of the application to handle this URL or click the Browse button.	Es wurde keine Anwendung gefunden, die das Hyperlink-Protokoll %s bearbeiten kann.\rGeben Sie den Pfad der Anwendung an, die diese URL bearbeiten kann, oder klicken Sie auf "Durchsuchen".
Enter buddy screen name	AIM-Namen des Buddy eingeben
Enter the screen name of the buddy:	Geben Sie den AIM-Namen des Buddys ein:
Ticker	Ticker
Display Ticker at Signon	Ticker beim Anmelden anzeigen
Top News	Top News
Business	Business
Entertainment	Entertainment
Sports	Sport
Display Headlines in bold	Headlines fettgedruckt
Look up ticker symbols	Ticker-Symbole nachschauen
Stock Alerts	Börsen-Alerts
Show stock ticker in Buddy List window	Börsen-Ticker in Buddy-Liste anzeigen
Scroll stocks smoothly	Durch Börsen rollen
News Ticker	News-Ticker
Refresh every:	Auffrischen alle:
Display speed:	Anzeigegeschwindigkeit:
Stock Ticker	Börsen-Ticker
Enter up to 40 symbols separated by commas (indices checked below count in total):	Bis zu 40 durch Kommas getrennte Symbole (unten markierte Indizes miteingeschlossen):
Topics	Themen
Stop Trying to Reconnect	Nicht länger versuchen, neuzuverbinden
Attempting to reconnect to the AIM service.	Versuche Verbindungsaufbau mit dem AIM-Service
Attempt #%d out of %d...	Versuch #%d von %d...
Connection interrupted.	Verbindung unterbrochen
Don't show this dialog again.	Diesen Dialog nicht nochmal anzeigen
Don't automatically reconnect next time.	Das nächste Mal nicht automatisch neuverbinden
Virus Checker	Virusprüfung
WARNING:	WARNUNG:
If you don't have anti-virus software on your computer, please install some before accepting files.	Falls auf Ihrem Computer keine Antivirus-Software installiert ist, sollten Sie diese installieren, bevor Sie irgendwelche Dateien akzeptieren.
View Anti-Virus Warning dialog	Antivirus-Wanrdialog anzeigen
Check files for virus after transfer	Daten nach Übertragung auf Viruse prüfen
Virus checker:	Antivirusprogramm:
Virus checker location:	Speicherort des Antivirusprogramms:
Command line parameters:  (for advanced users only)	Befehlszeilenparameter: (nur für fortgeschrittene Benutzer)
Note: see Help for a full explanation of the possible command line options.  Use %1 for the file path, %d for the directory, %f for the file name, \r\n%L for filename of file containing list of files	Hilfe: Ausführliche Informationen zu den Befehlszeilenoptionen finden Sie in der Hilfe. Verwenden Sie %1 für den Pfad, %d für das Verzeichnis, %f für den Dateinamen und %L für den Namen einer Datei, die eine Liste von Dateien enthält.
File Transfer	Dateiübertragung
Allow Receive File access from:	Dateiempfang gestatten:
No One	Niemandem
Display Receive File Dialog for everyone	Dateiempfangsdialog für jedermann anzeigen
Only users on Buddy List	Nur Benutzern auf der Buddy-Liste
Everyone	Jedermann
Allow Get File access to:	Dateierhalt gestatten:
Allow only users in Buddy group:	Nur Benutzern in Buddy-Gruppe:
For users on my Buddy List:	Nur Benutzern auf meiner Buddy-Liste:
Allow	Gestatten
Display Approve Dialog	Genehmigungsdialog anzeigen
Don't Allow	Nicht gestatten
For users not on my Buddy List:	Benutzern nicht auf meiner Buddy-Liste:
Never display Status dialog	Statusdialog nie anzeigen
Keep a record in logfile.txt of who has gotten files	In logfile.txt aufzeichnen, wer Dateien erhalten hat
Directory from where others can get my files or I send files:	Verzeichnis, von dem aus andere meine Dateien erhalten und ich Dateien senden kann:
Directory to put files I receive:	Verzeichnis für empfangene Dateien:
Initial transfer speed:	Übertragungsgeschwindigkeit:
To Buddy:	An Buddy:
Fast	Schnell
Medium	Mittel
Slow	Langsam
From Buddy:	Von Buddy:
Port number to use:	Portnummer:
If you don't have anti-virus software on your computer, please install some before accepting files.	Falls Sie keine Antivirus-Software auf dem Computer besitzen, sollten Sie diese installieren, bevor Sie Dateien annehmen.
Select a Folder:	Ordner wählen:
Start Get File	Dateierhalt starten
File to get:  (leave blank to get list of files,  *  to get all)	Zu erhaltende Datei: (leerlassen für Liste von Dateien, * für alle)
Warning:  When you get a file your buddy may be able to\ndetermine your IP address, which is a potential security risk.\nMake sure you know and trust your buddy.	Warnung: Beim Erhalt einer Datei kann Ihr Buddy u. U. Ihre IP-Adresse feststellen. Dies ist ein potentielles Sicherheitsrisiko. Vergewissern Sie sich vorher, daß Sie Ihren Buddy kennen und ihm vertrauen.
Check file for virus after transfer	Datei nach Übertragung auf Viruse prüfen
Open file after transfer	Datei nach Übertragung öffnen
Get	Erhalten
Start Send File	Dateisendevorgang starten
File or Directory to send:	Zu sendende Datei oder Verzeichnis:
Enter a description of the file so your buddy can decide whether to accept it:	Beschreibung der Datei, damit Ihr Buddy entscheiden kann, ob er sie annimmt:
Warning:  When you send a file your buddy may be able to determine your IP address, which is a potential security risk.	Warnung: Beim Senden einer Datei kann Ihr Buddy u. U. Ihre IP-Adresse feststellen. Dies ist ein potentielles Sicherheitsrisiko.
Make sure you know and trust your buddy.	Vergewissern Sie sich vorher, daß Sie Ihren Buddy kennen und ihm vertrauen.
Send	Senden
Start Receive File	Dateiempfang starten
Local file name	Lokaler Dateiname
File description:	Dateibeschreibung:
Warning:  When you receive a file your buddy may be able to determine your IP address, which is a potential security risk.  Make sure you know and trust your buddy.	Warnung:  Beim Empfang einer Datei kann Ihr Buddy u. U. Ihre IP-Adresse feststellen. Dies ist ein potentielles Sicherheitsrisiko. Vergewissern Sie sich vorher, daß Sie Ihren Buddy kennen und ihm vertrauen.
Accept	Annehmen
Anti-Virus Warning	Antivirus-Warnung
Don't ask me again!	Nicht erneut fragen!
Approve Get File Request	Dateierhaltanfrage genehmigen
Virus Checker Failed	Virusprüfung fehlgeschlagen
The virus checker did not complete successfully; it may have deleted the file.  If not, do you want to keep the file?	Die Virusprüfung wurde nicht erfolgreich abgeschlossen; möglicherweise wurde die Datei gelöscht. Wenn nicht, wollen Sie die Datei behalten?
The virus checker did not complete successfully; it may have deleted the infected files, or you may have to run it manually to see what files failed so that you can delete them.	Die Virusprüfung wurde nicht erfolgreich abgeschlossen; möglicherweise wurden infizierte Dateien gelöscht. Oder Sie müssen das Programm manuell ausführen, um zu sehen, welche Dateien die Prüfung nicht bestanden haben, so daß Sie sie löschen können.
File Transfer Status	Dateiübertragungsstatus
Pause	Pause
File Listing	Dateiliste
Stop	Stop
Do you want AOL Instant Messenger(SM) to start automatically when Windows starts?	Soll AOL Instant Messenger(SM) beim Starten von Windows automatisch starten?
IM Images	IM-Grafiken
Don't display start dialog.	Startdialog nicht anzeigen
Don't display status dialog.	Statusdialog nicht anzeigen
Use alternate Internet Address (if error when running AOL or 2 network adapters)	Alternative Internet-Adresse (bei Fehler mit AOL oder 2 Netzwerkadaptern)
When others issue the IM Images command:	Wenn andere den IM-Grafikenbefehl erteilen:
For users on my Buddy List:	Benutzern auf meiner Buddy-Liste:
Start IM Images Connection	IM-Grafikenverbindung starten
Warning: The IM Image feature causes you to make a direct connection with your buddy.  Your buddy will be able to send you images which you may consider objectionable.	Warnung: Für die IM-Grafikfunktion wird eine direkte Verbindung mit Ihrem Buddy hergestellt. Ihr Buddy kann Ihnen daraufhin Grafiken schicken, die Sie für anstößig halten.
Connect	Verbinden
Receive IM Images Connection	Verbindung für IM-Grafiken empfangen
Do you know who sent you this image?	Wissen Sie, wer Ihnen diese Grafik schickt?
Warning:  You are about to open an Instant Message note that might contain images.  If you don't know who sent you this Instant Message note, be cautious in opening it.  There is a small chance that it could contain an image objectionable to you.	Warnung: Sie sind im Begriff, ein Telegramm zu öffnen, das Grafiken enthält. Seien Sie vorsichtig, wenn Sie nicht wissen, wer Ihnen diese geschickt hat. Es besteht die Möglichkeit, daß dieses eine Grafik enthält, die Sie für anstößig halten.
Reject	Verweigern
Ignore	Ignorieren
Waiting for IM Images Connection	Warte auf IM-Grafikenverbindung
Waiting for buddy to make direct connection...	Warte, daß Buddy eine direkte Verbindung herstellt...
Trying to make direct connection with buddy...	Versuche, eine direkte Verbindung mit Buddy herzustellen...
Buddy Icon	Buddy-Symbol
Images to use for buddies	Mögliche Grafiken für Buddies
Browse PC...	PC durchsuchen...
Clear	Löschen
Clear all Buddy Icons	Alle Buddy-Symbole löschen
Buddy Icons Center:	Buddy-Symbol-Zentrale:
Never display Buddy Icons	Buddy-Symbole nie anzeigen
Never accept Buddy Icons	Buddy-Symbole nie akzeptieren
Accept from users on Buddy List	Von Benutzern auf Buddy-Liste akzeptieren
Display Buddy Icon Knock-Knock dialog	Buddy-Symbol Knock-Knock-Dialog anzeigen
Accept Buddy Icon	Buddy-Symbol annehmen
Your buddy would like to send you his or her Buddy Icon.	Ihr Buddy möchte Ihnen sein Buddy-Symbol schicken.
Warning:  the image below is a blurred view of the image, because you may consider the complete image objectionable.  To see a sharper version, keep clicking the 'Sharpen' button	Warnung: Die nachstehende Grafik wird unscharf angezeigt, weil Sie die Darstellung für anstößig erachten können.  Um eine schärfere Version zu sehen, klicken Sie auf "Schärfen".
Sharpen	Schärfen
Accept	Akzeptieren
Download External Application	Externe Anwendung herunterladen
Waiting...	Warte...
Send Request to Buddy	Anfrage an Buddy schicken
IDI_BLANK	IDI_BLANK
Enter the text for your invitation so your buddy can decide whether to join you:	Geben Sie den Einladungstext ein, damit Ihr Buddy entscheiden kann, ob er beitreten will:
Warning:  your buddy may be able to determine your IP address, which is a potential security risk.	Warnung: Ihr Buddy kann Ihre IP-Adresse feststellen. Dies ist ein potentielles Sicherheitsrisiko.
Make sure you know and trust your buddy.	Vergewissern Sie sich vorher, daß Sie Ihren Buddy kennen und ihm vertrauen.\r\n
IDI_PLAYAPP_TO	IDI_PLAYAPP_TO
Start	Start
Games Center	Spiele-Zentrale
Screen names to invite (separated by commas):	AIM-Namen für Einladungen (durch Kommas getrennt):
Invitation Message:	Einladungsmitteilung:
Select game (double-click game to send invitation) :	Spiel wählen (Einladung durch Doppelklicken verschicken) :
Warning:  the people to whom you send this invitation can determine your IP address.	Warnung: die Personen, denen Sie diese Einladung schicken, können Ihre IP-Adresse feststellen.
Add...	Hinzufügen...
Advanced...	Fortgeschritten...
AOL Instant Messenger (SM) Games Center:	AOL Instant Messenger(SM) Spiele-Zentrale:
App Center	Anwendungen-Zentrale
Select application (double-click to send invitation):	Anwendung wählen (Einladung durch Doppelklicken verschicken) :
Find...	Suchen...
AOL Instant Messenger (SM) Application Center:	AOL Instant Messenger(SM) Anwendungen-Zentrale:
Received Request from buddy	Anfrage von Buddy erhalten
Your buddy wants you to run the following application:	Ihr Buddy möchte, daß Sie die folgende Anwendung ausführen:
Invitation from buddy:	Einladung von Buddy:
Your buddy wants you to run the following application, but it is not installed on your computer:	Ihr Buddy möchte, daß Sie die folgende Anwendung ausführen; sie ist jedoch auf Ihrem Computer nicht installiert:
